date,name,product,amount
2020-06-26,서천군수산업협동조합,멸치,31064
2020-06-27,서천군수산업협동조합,멸치,35898
2020-06-28,서천군수산업협동조합,멸치,35898
2020-06-29,서천군수산업협동조합,멸치,29016
2020-06-30,서천군수산업협동조합,멸치,30470
2020-07-01,서천군수산업협동조합,멸치,32228
2020-07-02,서천군수산업협동조합,멸치,32228
2020-07-03,서천군수산업협동조합,멸치,33304
2020-07-04,서천군수산업협동조합,멸치,33304
2020-07-05,서천군수산업협동조합,멸치,33304
2020-07-06,서천군수산업협동조합,멸치,32173
2020-07-07,서천군수산업협동조합,멸치,37586
2020-07-08,서천군수산업협동조합,멸치,36278
2020-07-09,서천군수산업협동조합,멸치,37838
2020-07-10,서천군수산업협동조합,멸치,35121
